Name,ID,Enabled,Link
"Google Docs Offline","ghbmnnjooekpmoecnnnilnnbdlolhkhi",false,"https://chrome.google.com/webstore/detail/ghbmnnjooekpmoecnnnilnnbdlolhkhi"
"Scanlist: Email Finder & Sales Copy Generator","haiofogejpjmphinemcanjidbaibkebc",false,"https://chrome.google.com/webstore/detail/haiofogejpjmphinemcanjidbaibkebc"
"Ahrefs SEO Toolbar: On-Page and SERP Tools","hgmoccdbjhknikckedaaebbpdeebhiei",false,"https://chrome.google.com/webstore/detail/hgmoccdbjhknikckedaaebbpdeebhiei"
"Tamper Chrome (extension)","hifhgpdkfodlpnlmlnmhchnkepplebkb",false,"https://chrome.google.com/webstore/detail/hifhgpdkfodlpnlmlnmhchnkepplebkb"
"Sketchpad for Browser","hkhoblmaekmiepdapgifgcahckeihbkb",false,"https://chrome.google.com/webstore/detail/hkhoblmaekmiepdapgifgcahckeihbkb"
"OneTab","hoimpamkkoehapgenciaoajfkfkpgfop",false,"https://chrome.google.com/webstore/detail/hoimpamkkoehapgenciaoajfkfkpgfop"
"ChromeLens","idikgljglpfilbhaboonnpnnincjhjkd",false,"https://chrome.google.com/webstore/detail/idikgljglpfilbhaboonnpnnincjhjkd"
"QuillBot: AI Writing and Grammar Checker Tool","iidnbdjijdkbmajdffnidomddglmieko",false,"https://chrome.google.com/webstore/detail/iidnbdjijdkbmajdffnidomddglmieko"
"OneLogin for Google Chrome","ioalpmibngobedobkmbhgmadaphocjdn",false,"https://chrome.google.com/webstore/detail/ioalpmibngobedobkmbhgmadaphocjdn"
"Stream Recorder - HLS & m3u8 Video Downloader","iogidnfllpdhagebkblkgbfijkbkjdmm",false,"https://chrome.google.com/webstore/detail/iogidnfllpdhagebkblkgbfijkbkjdmm"
"Email Extractor","jdianbbpnakhcmfkcckaboohfgnngfcc",false,"https://chrome.google.com/webstore/detail/jdianbbpnakhcmfkcckaboohfgnngfcc"
"AI Prompt Genius","jjdnakkfjnnbbckhifcfchagnpofjffo",false,"https://chrome.google.com/webstore/detail/jjdnakkfjnnbbckhifcfchagnpofjffo"
"Salesforce","jjghhkepijgakdammjldcbnjehfkfmha",false,"https://chrome.google.com/webstore/detail/jjghhkepijgakdammjldcbnjehfkfmha"
"Video Downloader Chrome","jlbmenngnppkommpmohppjpkglicldbd",false,"https://chrome.google.com/webstore/detail/jlbmenngnppkommpmohppjpkglicldbd"
"Speechify Text to Speech Voice Reader","ljflmlehinmoeknoonhibbjpldiijjmm",false,"https://chrome.google.com/webstore/detail/ljflmlehinmoeknoonhibbjpldiijjmm"
"Reader Mode","llimhhconnjiflfimocjggfjdlmlhblm",false,"https://chrome.google.com/webstore/detail/llimhhconnjiflfimocjggfjdlmlhblm"
"Video DownloadHelper","lmjnegcaeklhafolokijcfjliaokphfk",false,"https://chrome.google.com/webstore/detail/lmjnegcaeklhafolokijcfjliaokphfk"
"Prospeo - Email Finder","lodchmjigmbiibplfmagekadbpomglad",false,"https://chrome.google.com/webstore/detail/lodchmjigmbiibplfmagekadbpomglad"
"WebChatGPT: ChatGPT with internet access","lpfemeioodjbpieminkklglpmhlngfcn",false,"https://chrome.google.com/webstore/detail/lpfemeioodjbpieminkklglpmhlngfcn"
"Take Webpage Screenshots Entirely - FireShot","mcbpblocgmgfnpjjppndjkmgjaogfceg",false,"https://chrome.google.com/webstore/detail/mcbpblocgmgfnpjjppndjkmgjaogfceg"
"BLACKBOX.AI","mcgbeeipkmelnpldkobichboakdfaeon",false,"https://chrome.google.com/webstore/detail/mcgbeeipkmelnpldkobichboakdfaeon"
"Google Input Tools","mclkkofklkfljcocdinagocijmpgbhab",false,"https://chrome.google.com/webstore/detail/mclkkofklkfljcocdinagocijmpgbhab"
"Copy for Chat GPT","mloblghgjiagjdffmgobhbgmplhongpm",false,"https://chrome.google.com/webstore/detail/mloblghgjiagjdffmgobhbgmplhongpm"
"Displate Fullscreen Viewer","nchdoajnpindhpopdjhlapbdanbbfneo",false,"https://chrome.google.com/webstore/detail/nchdoajnpindhpopdjhlapbdanbbfneo"
"Keepa - Amazon Price Tracker","neebplgakaahbhdphmkckjjcegoiijjo",false,"https://chrome.google.com/webstore/detail/neebplgakaahbhdphmkckjjcegoiijjo"
"hide.me Proxy","ohjocgmpmlfahafbipehkhbaacoemojp",false,"https://chrome.google.com/webstore/detail/ohjocgmpmlfahafbipehkhbaacoemojp"
"AIPRM for ChatGPT","ojnbohmppadfgpejeebfnmnknjdlckgj",false,"https://chrome.google.com/webstore/detail/ojnbohmppadfgpejeebfnmnknjdlckgj"
"Price History & Tracker, Spend Lens: Buyhatke","ojplmecpdpgccookcobabopnaifgidhf",false,"https://chrome.google.com/webstore/detail/ojplmecpdpgccookcobabopnaifgidhf"
"Transkriptor Transcribe Audio to Text","pbajmiiebklfjhkeahpgjdlgclelihjh",false,"https://chrome.google.com/webstore/detail/pbajmiiebklfjhkeahpgjdlgclelihjh"
"Salesforce Lightning Inspector","pcpmcffcomlcjgpcheokdfcjipanjdpc",false,"https://chrome.google.com/webstore/detail/pcpmcffcomlcjgpcheokdfcjipanjdpc"
